title,genre,language,imdb_score,premiere,runtime,year
Winter on Fire: Ukraine's Fight for Freedom,Documentary,English/Ukranian/Russian,8.4,10/9/2015,91,2015-01-01
Below Zero,Drama,Spanish,6.2,1/29/2021,106,2021-01-01
Sierra Burgess Is a Loser,Romantic comedy-drama,English,5.8,9/7/2018,105,2018-01-01
Casting JonBenet,Documentary,English,6.1,4/28/2017,80,2017-01-01
The Half of It,Romance,English,6.9,5/1/2020,105,2020-01-01
Sometimes,Drama,Tamil,7.2,5/1/2018,101,2018-01-01
Just Another Christmas,Comedy,Portuguese,6.7,12/3/2020,101,2020-01-01
Otherhood,Comedy,English,6.1,8/2/2019,100,2019-01-01
Octonauts & the Caves of Sac Actun,Animation,English,6.2,8/14/2020,72,2020-01-01
CounterPunch ,Documentary,English,6.7,6/16/2017,91,2017-01-01
Octonauts & the Great Barrier Reef,Animation,English,7.3,10/13/2020,47,2020-01-01
Moxie,Drama,English,6.7,3/3/2021,111,2021-01-01
The Woman in the Window,Psychological thriller,English,5.7,5/14/2021,100,2021-01-01
The Last Thing He Wanted,Political thriller,English,4.3,2/21/2020,115,2020-01-01
The Fundamentals of Caring,Comedy-drama,English,7.3,6/24/2016,97,2016-01-01
We Can Be Heroes,Superhero,English,4.7,12/25/2020,100,2020-01-01
Bird Box,Psychological thriller,English,6.6,12/21/2018,124,2018-01-01
Love per Square Foot,Romantic comedy,Hindi,7.2,2/14/2018,133,2018-01-01
The Dirt,Biopic,English,7.0,3/22/2019,108,2019-01-01
All in My Family,Documentary,English/Mandarin,6.8,5/3/2019,39,2019-01-01
Cadaver,Horror,Norwegian,5.1,10/22/2020,86,2020-01-01
Murder Mystery,Comedy mystery,English,6.0,6/14/2019,97,2019-01-01
Class of '83,Drama,Hindi,5.8,8/21/2020,98,2020-01-01
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,English,5.5,7/6/2018,83,2018-01-01
XOXO,Drama,English,5.3,8/26/2016,92,2016-01-01
Whipped,Romantic comedy,Indonesian,4.1,9/18/2020,97,2020-01-01
Velvet Buzzsaw,Thriller,English,5.7,2/1/2019,112,2019-01-01
The Death and Life of Marsha P. Johnson,Documentary,English,7.3,10/6/2017,105,2017-01-01
Alien Xmas,Stop Motion,English,6.2,11/20/2020,42,2020-01-01
Kaali Khuhi,Mystery,Hindi,3.4,10/30/2020,90,2020-01-01
Hillbilly Elegy,Drama,English,6.7,11/24/2020,117,2020-01-01
Little Miss Sumo,Documentary,Japanese,6.7,10/28/2019,19,2019-01-01
Leyla Everlasting,Comedy,Turkish,3.7,12/4/2020,112,2020-01-01
Isi & Ossi,Romantic comedy,German,6.4,2/14/2020,113,2020-01-01
Love Wedding Repeat,Romantic comedy,English,5.5,4/10/2020,100,2020-01-01
Heroin(e) ,Documentary,English,6.8,9/12/2017,39,2017-01-01
Long Live Brij Mohan,Comedy,Hindi,6.8,8/3/2018,105,2018-01-01
Shawn Mendes: Live in Concert,Concert Film,English,7.4,11/25/2020,87,2020-01-01
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,English,6.5,6/26/2020,123,2020-01-01
Who Would You Take to a Deserted Island?,Drama,Spanish,5.3,4/12/2019,93,2019-01-01
Wine Country,Comedy,English,5.5,5/10/2019,103,2019-01-01
Let It Snow,Romantic comedy,English,5.8,11/8/2019,92,2019-01-01
To the Bone,Drama,English,6.8,7/14/2017,107,2017-01-01
Gerald's Game,Horror thriller,English,6.5,9/29/2017,103,2017-01-01
Laerte-se,Documentary,Portuguese,6.9,5/19/2017,100,2017-01-01
Guillermo Vilas: Settling the Score,Documentary,Spanish,7.1,10/27/2020,94,2020-01-01
Things Heard & Seen,Horror,English,5.3,4/29/2021,121,2021-01-01
ARQ,Science fiction/Thriller,English,6.4,9/16/2016,88,2016-01-01
Outlaw King,Historical-epic,English,6.9,11/9/2018,121,2018-01-01
Emicida: AmarElo - It's All For Yesterday,Documentary,Portuguese,8.6,12/8/2020,89,2020-01-01
Athlete A,Documentary,English,7.6,6/24/2020,104,2020-01-01
Marriage Story,Drama,English,7.9,12/6/2019,136,2019-01-01
Dolly Parton's Christmas on the Square,Christmas musical,English,5.2,11/22/2020,98,2020-01-01
The Package,Black comedy,English,5.5,8/10/2018,94,2018-01-01
Unknown Origins,Thriller,Spanish,6.1,8/28/2020,96,2020-01-01
Roma,Drama,Spanish,7.7,12/14/2018,135,2018-01-01
"Love, Guaranteed",Romantic comedy,English,5.6,9/3/2020,91,2020-01-01
Rich in Love,Romantic comedy,Portuguese,5.8,4/30/2020,105,2020-01-01
Bigflo & Oil: Hip Hop Frenzy,Documentary,French,6.9,10/8/2020,100,2020-01-01
Private Life,Drama,English,7.2,10/5/2018,124,2018-01-01
The Most Hated Woman in America,Biopic,English,6.1,3/24/2017,92,2017-01-01
Beats,Drama,English,7.1,6/19/2019,110,2019-01-01
Shirkers,Documentary,English,7.4,10/26/2018,97,2018-01-01
Drive,Action,Hindi,3.5,11/1/2019,147,2019-01-01
City of Joy,Documentary,English,7.5,9/7/2018,74,2018-01-01
Blue Miracle,Drama,English,6.7,5/27/2021,95,2021-01-01
David Attenborough: A Life on Our Planet,Documentary,English,9.0,10/4/2020,83,2020-01-01
The Other Side of the Wind,Drama,English,6.8,11/2/2018,122,2018-01-01
One-Way to Tomorrow,Romance,Turkish,5.6,6/19/2020,90,2020-01-01
The App,Science fiction/Drama,Italian,2.6,12/26/2019,79,2019-01-01
Derren Brown: Sacrifice,Mentalism special,English,7.1,10/19/2018,49,2018-01-01
John Mulaney & the Sack Lunch Bunch,Variety show,English,7.5,12/24/2019,70,2019-01-01
The Bleeding Edge,Documentary,English,7.6,7/27/2018,100,2018-01-01
Triple Frontier,Action-thriller,English,6.4,3/13/2019,125,2019-01-01
Into the Inferno,Documentary,English,7.2,10/28/2016,107,2016-01-01
Walk. Ride. Rodeo.,Drama,English,6.4,3/8/2019,99,2019-01-01
The Willoughbys,Animation/Comedy/Adventure,English,6.4,4/22/2020,90,2020-01-01
Mrs. Serial Killer,Thriller,Hindi,4.8,5/1/2020,106,2020-01-01
Lost Bullet,Thriller,French,6.2,6/19/2020,92,2020-01-01
Despite Everything,Comedy,Spanish,5.4,5/3/2019,78,2019-01-01
Reversing Roe,Documentary,English,7.5,9/13/2018,99,2018-01-01
The Cloverfield Paradox,Science fiction,English,5.5,2/4/2018,102,2018-01-01
Spelling the Dream,Documentary,English,6.9,6/3/2020,83,2020-01-01
Mascots,Mockumentary,English,5.8,10/13/2016,95,2016-01-01
The Open House,Horror thriller,English,3.2,1/19/2018,94,2018-01-01
Rocko's Modern Life: Static Cling,Animation / Comedy,English,7.0,8/9/2019,45,2019-01-01
Rogue City,Crime drama,French,6.1,10/30/2020,116,2020-01-01
Feel the Beat,Family/Comedy-drama,English,6.3,6/19/2020,107,2020-01-01
Dolemite Is My Name,Biopic,English,7.3,10/25/2019,118,2019-01-01
Set It Up,Romantic comedy,English,6.5,6/15/2018,105,2018-01-01
True Memoirs of an International Assassin,Action comedy,English,5.9,11/11/2016,98,2016-01-01
Rising High,Satire,German,5.8,4/17/2020,94,2020-01-01
Paper Lives,Drama,Turkish,6.7,3/12/2021,97,2021-01-01
The Heartbreak Club,Comedy-drama,Indonesian,6.4,1/14/2021,101,2021-01-01
Special Correspondents,Satire,English,5.8,4/29/2016,100,2016-01-01
Nail Bomber: Manhunt,Documentary,English,6.3,5/26/2021,72,2021-01-01
Get Me Roger Stone,Documentary,English,7.3,5/12/2017,101,2017-01-01
"Ram Dass, Going Home",Documentary,English,7.1,4/6/2018,31,2018-01-01
The Holiday Calendar,Romantic comedy,English,5.7,11/2/2018,95,2018-01-01
On My Skin,Crime drama,Italian,7.3,9/12/2018,100,2018-01-01
Layla Majnun,Romantic drama,Indonesian,6.4,2/11/2021,119,2021-01-01
After the Raid,Documentary,Spanish,4.3,12/19/2019,25,2019-01-01
Dick Johnson Is Dead,Documentary,English,7.5,10/2/2020,90,2020-01-01
LA Originals,Documentary,English,7.2,4/10/2020,92,2020-01-01
Work It,Dance comedy,English,6.1,8/7/2020,93,2020-01-01
The Misadventures of Hedi and Cokeman,Comedy,French,4.5,2/10/2021,99,2021-01-01
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,English,6.7,2/7/2017,54,2017-01-01
Intuition,Thriller,Spanish,5.3,5/28/2020,116,2020-01-01
Dancing with the Birds,Documentary,English,8.3,10/23/2019,51,2019-01-01
Bad Trip,Hidden-camera prank comedy,English,6.6,3/26/2021,86,2021-01-01
Fire in Paradise,Documentary,English,7.4,11/1/2019,39,2019-01-01
A Fall from Grace,Thriller,English,5.9,1/17/2020,120,2020-01-01
Crazy Awesome Teachers,Comedy-drama,Indonesian,6.2,8/17/2020,101,2020-01-01
Back to School,Comedy,French,5.3,8/30/2019,83,2019-01-01
Angela's Christmas Wish,Animation,English,7.1,12/1/2020,47,2020-01-01
Madame Claude,Drama,French,5.4,4/2/2021,112,2021-01-01
